keyword,Frequency,,The number of search word ,Number of query results
subject,224884,,1,83900.02
pleas,203733,,2,23160.83
forward,135100,,3,4660.74
messag,115981,,4,1327.87
time,98608,,5,439.43
attach,96270,,6,116.97
call,92721,,7,44.15
inform,76989,,8,14.71
question,73737,,9,4.15
follow,69720,,10,1.23
receiv,63469,,,
meet,63266,,,
chang,61745,,Average frequency,148.17
regard,60577,,Frequency >1w,441 (0.30%)
day,60138,,Frequency >1k,2789 (1.95%)
week,59833,,Frequency >100,10865 (7.60%)
mark,58300,,,
market,54505,,,
contact,52669,,,
email,51763,,,
schedul,50959,,,
file,50881,,,
deal,50820,,,
onli,50742,,,
provid,50626,,,
issu,50190,,,
servic,49595,,,
send,49412,,,
energi,49251,,,
review,49163,,,
fax,49064,,,
trade,48990,,,
houston,48811,,,
includ,48326,,,
busi,47459,,,
john,46488,,,
power,46440,,,
compani,46127,,,
friday,45562,,,
list,45120,,,
copi,44115,,,
monday,43669,,,
manag,43623,,,
price,43618,,,
offic,43080,,,
request,42383,,,
agreement,42034,,,
jeff,41927,,,
report,41742,,,
phone,40834,,,
current,39335,,,
plan,39087,,,
note,38533,,,
avail,38110,,,
start,37434,,,
thursday,37060,,,
tuesday,36148,,,
veri,36000,,,
wednesday,35864,,,
contract,35683,,,
addit,35626,,,
north,35553,,,
hope,35284,,,
america,35079,,,
comment,34045,,,
talk,33974,,,
doe,33951,,,
system,33844,,,
address,33440,,,
befor,32986,,,
david,32960,,,
final,32746,,,
gener,32361,,,
requir,32153,,,
legal,31603,,,
respons,31257,,,
tri,31213,,,
mike,30785,,,
updat,30742,,,
document,30460,,,
product,29992,,,
octob,29764,,,
set,29682,,,
free,29504,,,
detail,29282,,,
offer,29169,,,
bill,29035,,,
novemb,28789,,,
check,28703,,,
process,28682,,,
confirm,28455,,,
month,28235,,,
chri,28200,,,
draft,27979,,,
complet,27966,,,
team,27763,,,
mailto,27711,,,
sinc,27480,,,
possibl,27451,,,
becaus,27299,,,
custom,27199,,,
execut,26690,,,
hour,26602,,,
morn,26409,,,
click,26201,,,
person,26095,,,
steve,26090,,,
peopl,25904,,,
approv,25900,,,
credit,25880,,,
commun,25810,,,
oper,25716,,,
continu,25234,,,
access,24677,,,
transact,24517,,,
develop,24496,,,
richard,24126,,,
posit,24098,,,
kay,24096,,,
tomorrow,24082,,,
texa,24050,,,
financi,23855,,,
employe,23638,,,
form,23485,,,
howev,23479,,,
california,23472,,,
origin,23372,,,
mani,23314,,,
fyi,23202,,,
smith,23107,,,
support,23089,,,
project,22976,,,
move,22790,,,
base,22638,,,
believ,22585,,,
michael,22523,,,
abl,22515,,,
rate,22431,,,
scott,22340,,,
susan,22063,,,
term,21892,,,
sign,21843,,,
confidenti,21799,,,
propos,21771,,,
vinc,21771,,,
mari,21744,,,
confer,21735,,,
dure,21697,,,
assist,21657,,,
jame,21632,,,
paul,21546,,,
particip,21082,,,
street,21011,,,
januari,20991,,,
close,20919,,,
feel,20915,,,
parti,20915,,,
futur,20852,,,
cost,20829,,,
distribut,20798,,,
risk,20563,,,
account,20444,,,
robert,20336,,,
letter,20261,,,
alreadi,20043,,,
option,20035,,,
mail,19993,,,
concern,19986,,,
juli,19935,,,
decemb,19888,,,
direct,19781,,,
understand,19738,,,
purchas,19561,,,
agre,19533,,,
buy,19522,,,
relat,19387,,,
data,19302,,,
ena,19283,,,
import,19273,,,
intend,19210,,,
william,19178,,,
electr,19084,,,
steven,19062,,,
opportun,19059,,,
anoth,18844,,,
dear,18830,,,
attend,18813,,,
notic,18809,,,
locat,18799,,,
anyth,18759,,,
site,18508,,,
jim,18492,,,
march,18409,,,
corpor,18394,,,
sale,18360,,,
guy,18253,,,
resourc,18156,,,
read,18111,,,
april,18067,,,
revis,18026,,,
joe,17992,,,
june,17989,,,
creat,17938,,,
book,17870,,,
hear,17710,,,
expect,17695,,,
immedi,17548,,,
result,17514,,,
view,17482,,,
respond,17477,,,
util,17449,,,
unit,17303,,,
link,17299,,,
kevin,17291,,,
prepar,17237,,,
return,17210,,,
eric,17186,,,
abov,17016,,,
sever,16937,,,
realli,16920,,,
total,16832,,,
depart,16824,,,
intern,16797,,,
tom,16711,,,
activ,16710,,,
version,16645,,,
visit,16629,,,
togeth,16605,,,
program,16534,,,
industri,16166,,,
firm,16146,,,
appreci,16143,,,
public,16138,,,
everyon,16096,,,
global,16044,,,
pay,16012,,,
center,15989,,,
probabl,15972,,,
author,15959,,,
counterparti,15781,,,
web,15771,,,
bob,15768,,,
limit,15750,,,
yesterday,15563,,,
applic,15528,,,
daili,15507,,,
someth,15470,,,
specif,15442,,,
leav,15430,,,
night,15389,,,
sorri,15383,,,
onc,15331,,,
sara,15292,,,
effort,15274,,,
event,15271,,,
sell,15261,,,
indic,15240,,,
director,15224,,,
natur,15176,,,
desk,15173,,,
associ,15161,,,
enter,15101,,,
advis,15029,,,
valu,15008,,,
reason,15005,,,
septemb,14902,,,
jeffrey,14890,,,
individu,14887,,,
error,14683,,,
delet,14676,,,
volum,14627,,,
join,14515,,,
announc,14506,,,
afternoon,14353,,,
enronxg,14351,,,
anyon,14315,,,
accept,14305,,,
weekend,14283,,,
consid,14271,,,
onlin,14179,,,
type,14116,,,
correct,14094,,,
repli,14058,,,
add,14051,,,
repres,14041,,,
log,14006,,,
littl,14000,,,
refer,13920,,,
bring,13888,,,
privileg,13838,,,
someon,13835,,,
statu,13742,,,
post,13675,,,
dan,13674,,,
special,13658,,,
notifi,13513,,,
februari,13488,,,
dave,13458,,,
whi,13430,,,
august,13361,,,
presid,13350,,,
basi,13341,,,
actual,13296,,,
info,13223,,,
lisa,13183,,,
prefer,13165,,,
amount,13157,,,
build,13143,,,
entiti,13133,,,
idea,13110,,,
deliveri,13106,,,
love,13091,,,
left,13060,,,
greg,13053,,,
answer,13032,,,
initi,13027,,,
rick,13005,,,
cover,13000,,,
increas,12968,,,
master,12952,,,
share,12942,,,
kate,12940,,,
secur,12869,,,
internet,12820,,,
told,12815,,,
respect,12769,,,
west,12760,,,
charg,12752,,,
reserv,12751,,,
els,12740,,,
prior,12739,,,
jone,12715,,,
ken,12674,,,
london,12478,,,
york,12382,,,
ferc,12360,,,
happi,12343,,,
save,12324,,,
perform,12311,,,
item,12251,,,
pass,12234,,,
head,12069,,,
capac,12053,,,
everi,11987,,,
short,11949,,,
tana,11921,,,
organ,11907,,,
